Hora,Precio,Volumen
25-02-2019 12:08:00,132.75,4996.0
25-02-2019 12:08:38,132.9,593.0
25-02-2019 12:08:38,132.9,7.0
25-02-2019 12:09:01,132.6,1000.0
25-02-2019 12:09:46,132.5,350.0
25-02-2019 12:09:46,132.5,377.0
25-02-2019 12:10:48,132.15,1921.0
25-02-2019 12:10:53,132.0,2000.0
25-02-2019 12:10:53,132.0,280.0
25-02-2019 12:10:53,132.0,100.0
25-02-2019 12:10:53,132.0,50.0
25-02-2019 12:10:54,132.0,2000.0
25-02-2019 12:11:16,131.55,184.0
25-02-2019 12:11:16,131.9,290.0
25-02-2019 12:11:16,131.9,300.0
25-02-2019 12:11:21,131.9,50.0
25-02-2019 12:12:08,132.2,500.0
25-02-2019 12:12:36,132.2,2006.0
25-02-2019 12:13:05,132.0,690.0
25-02-2019 12:13:35,132.0,100.0
25-02-2019 12:14:15,132.0,300.0
25-02-2019 12:14:15,132.0,50.0
25-02-2019 12:14:16,132.0,205.0
25-02-2019 12:15:00,132.0,1605.0
25-02-2019 12:15:00,132.0,795.0
25-02-2019 12:15:28,131.9,100.0
25-02-2019 12:15:29,131.9,75.0
25-02-2019 12:16:03,131.9,2.0
25-02-2019 12:17:28,131.9,920.0
25-02-2019 12:18:14,132.0,285.0
25-02-2019 12:18:22,132.0,43.0
25-02-2019 12:18:22,132.0,50.0
25-02-2019 12:18:22,132.0,110.0
25-02-2019 12:19:44,132.0,859.0
25-02-2019 12:19:52,132.0,56.0
25-02-2019 12:19:52,132.0,1000.0
25-02-2019 12:19:52,132.0,141.0
25-02-2019 12:20:20,132.2,300.0
25-02-2019 12:20:20,132.25,750.0
25-02-2019 12:20:21,132.0,250.0
25-02-2019 12:20:50,131.9,500.0
25-02-2019 12:20:50,131.9,80.0
25-02-2019 12:21:49,131.8,5000.0
25-02-2019 12:23:17,131.8,133.0
25-02-2019 12:23:31,132.0,400.0
25-02-2019 12:23:45,131.8,2000.0
25-02-2019 12:23:55,132.0,55.0
25-02-2019 12:25:00,131.8,35.0
25-02-2019 12:25:03,131.65,2000.0
25-02-2019 12:25:27,131.55,316.0
25-02-2019 12:25:28,131.55,35.0
25-02-2019 12:25:28,131.55,1684.0
25-02-2019 12:25:44,131.55,281.0
25-02-2019 12:26:10,131.5,29.0
25-02-2019 12:26:10,131.5,114.0
